container_type_id,name,volume,weight
3575,5m3 KHC Glas Amsterdam Standaard 1338*1338*2690,5.0,630.0
3576,5m3 KHC Papier Amsterdam Standaard 1338*1338*2690,5.0,500.0
3577,5m3 KHC Plastic Amsterdam Standaard 1338*1338*2690,5.0,500.0
3578,5m3 KHC Textiel Amsterdam Standaard 1338*1338*2690,5.0,630.0
3579,5m3 KHC Rest Amsterdam Standaard 1338*1338*2619,5.0,630.0
3580,5m3 KHC Papier Amsterdam Standaard 1338*1338*2619,5.0,630.0
3581,5m3 KHC Glas Amsterdam Standaard 1338*1338*2619,5.0,630.0
3582,5m3 KHC Plastic Amsterdam Standaard 1338*1338*2619,5.0,630.0
3583,5m3 KHC Textiel Amsterdam Standaard 1338*1338*2619,5.0,630.0
3585,4m3 KHC Rest Semi,4.0,350.0
3586,5m3 Rest KHC Pers Amsterdam Standaard (Sidcon),5.0,1070.0
3587,5m3 Plastic KHC Pers Amsterdam Standaard (Sidcon),5.0,1070.0
3588,5m3 KHC Rest Amsterdam Standaard 1192*1192*2341,4.69,500.0
3589,5m3 KHC Glas Amsterdam Standaard 1192*1192*2341,4.69,500.0
3590,5m3 KHC Papier Amsterdam Standaard 1192*1192*2341,4.69,500.0
3591,5m3 KHC Plastic Amsterdam Standaard 1192*1192*2341,4.69,500.0
3592,5m3 KHC Textiel Amsterdam Standaard 1192*1192*2341,4.69,500.0
3630,4m3 KHC Glas Amsterdam Standaard 1338*1338*2130,4.0,650.0
3641,MCB Bovengrondse Plastic,4.0,386.0
4286,3m3 KHC Rest Amsterdam Standaard 1380*1380*1640,3.0,520.0
4299,3M3 Papier KH Semi-BG Bauer,3.0,350.0
4300,3M3 Glas-Bont KH Semi-BG Bauer,3.0,350.0
4309,5m3 KHC Glas Amsterdam Vconsyst 2  1340*1340*2725,5.0,630.0
4310,5m3 KHC glas Amsterdam Standaard 1340*1340*2725,5.0,630.0
4311,3m3 KHC glas Amsterdam standaard 1380*1380*1290,3.0,630.0
4312,5m3 KHC Papier Amsterdam Vconsyst 2  1340*1340*2725,5.0,630.0
4313,5m3 KHC papier Amsterdam Standaard 1340*1340*2725,5.0,630.0
4314,5m3 KHC Plastic Amsterdam Vconsyst 2  1340*1340*2725,5.0,630.0
4315,5m3 KHC plastic Amsterdam Standaard 1340*1340*2725,5.0,630.0
4316,5m3 KHC rest Amsterdam Vconsyst 2  1340*1340*2725,5.0,630.0
4317,7m3 KHC Rest Amsterdam Standaard 1380*1380*3626,7.0,
4318,7m3 KHC rest Belfast 1380*1380*2690,7.0,700.0
4319,5m3 KHC rest Amsterdam Standaard 1340*1340*2725,5.0,630.0
4371,"0,24m3 Bovengronds Cushion BWaste",0.24,0.0
4427,5TV1340RI  3HZ  METRO REST  TR 5/7,5.0,650.0
4431,Afvalboei Bovengrondse Container Blauw/Geel Nederland Schoon,3.0,
4597,"3,5m3 KHC Rest BG",3.0,350.0
4598,"3,5m3 KHC Papier BG",3.0,350.0
4599,"3,5m3 KHC Glas BG",3.0,350.0
4600,"3,5m3 KHC Plastic BG",3.0,350.0
4643,"0,48m3 Bovengronds Cushion BWaste",0.48,
4649,5m3 KHC Papier Amsterdam Standaard + KK 1380*1380*2690,5.0,630.0
4650,"4,65m3 KHC Papier Amsterdam Standaard + KK 1380*1380*2489",4.65,610.0
4652,5m3 KHC Papier Amsterdam Standaard + KK 1338*1338*2619,5.0,630.0
4653,5m3 KHC Papier Amsterdam Standaard + KK 1192*1192*2341,3.33,500.0
4654,5m3 KHC Papier Amsterdam Standaard 1338*1338*2690 + KK,5.0,630.0
4886,"0,24m3 BG Brood Rolcontainer",0.0,
4903,SIA Melding,0.0,
4991,4 m3 1 Haaks Plastic Metro,4.0,
4992,7m3 KHC Plastic Amsterdam Standaard 1380*1380*3626,7.0,
4993,7m3 KHC Papier Amsterdam Standaard 1380*1380*3626,7.0,
5023,"Rolcontainer (staal) Rest 1,10m3",1.1,
