,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,well_id,stadsdeel,buurt_code,well_type,well_neighbourhood,well_address,well_longitude,well_latitude,postal_code
137,137,137,137,8903,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 20, Amsterdam",4.930827689822764,52.35605848354759,Geen resultaat.
138,138,138,138,8905,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 36, Amsterdam",4.933349490165711,52.35662452072231,1098BJ
139,139,139,139,8907,M,M56a,Point,56a - Linnaeusparkbuurt,"LINNAEUSKADE 30, Amsterdam, Nederland",4.9321103,52.3563351,1098BG
140,140,140,140,8909,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 54, Amsterdam",4.935219939791295,52.357023680294674,1098BK
141,141,141,141,8911,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 12, Amsterdam",4.929756950580214,52.35573977695963,Geen resultaat.
142,142,142,142,8913,M,M56b,Point,56b - Middenmeer Noord,"Archimedesweg 55, Amsterdam",4.939156919690505,52.356113962530834,1098JL
143,143,143,143,8915,M,M56b,Point,56b - Middenmeer Noord,"Archimedesweg 10, Amsterdam",4.93720980360422,52.35678744761197,Geen resultaat.
144,144,144,144,8917,M,M56b,Point,56b - Middenmeer Noord,"Archimedeslaan 10, Amsterdam",4.940639399646899,52.35585704344328,1098PT
145,145,145,145,8919,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 45, Amsterdam",4.9336102232200565,52.35554196652847,Geen resultaat.
146,146,146,146,8921,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 45, Amsterdam",4.933581389473148,52.35552476557945,Geen resultaat.
147,147,147,147,8923,M,M56a,Point,56a - Linnaeusparkbuurt,"Middenweg 133, Amsterdam",4.934152029441067,52.35158802943889,Geen resultaat.
148,148,148,148,8925,M,M56a,Point,56a - Linnaeusparkbuurt,"Middenweg 99, Amsterdam",4.9328602664104455,52.35240227287323,Geen resultaat.
149,149,149,149,8931,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeusparkweg 19, Amsterdam",4.931985475109287,52.35539575824824,Geen resultaat.
150,150,150,150,8933,M,M56a,Point,56b - Middenmeer Noord,"Linnaeusparkweg 49, Amsterdam",4.9336263164741485,52.35433583614049,1098CP
151,151,151,151,8935,M,M56b,Point,56b - Middenmeer Noord,"Linnaeusparkweg 49, Amsterdam",4.933656547211741,52.35433815696523,1098CP
152,152,152,152,8937,M,M56b,Point,56b - Middenmeer Noord,"Linnaeusparkweg 87, Amsterdam",4.935031179331873,52.353472753534476,Geen resultaat.
153,153,153,153,8939,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeusparkweg 138, Amsterdam",4.936663974069688,52.3524115565823,Geen resultaat.
154,154,154,154,8941,M,M56b,Point,56a - Linnaeusparkbuurt,"Linnaeusparkweg 138, Amsterdam",4.936694148921107,52.352412580520614,Geen resultaat.
155,155,155,155,8945,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeushof 37, Amsterdam",4.934887401759625,52.35264241994188,Geen resultaat.
156,156,156,156,8951,M,M56b,Point,56b - Middenmeer Noord,"Galileïplantsoen 39, Amsterdam",4.938723854706951,52.35392627673994,1098LW
